txtkontakid;status;umur;gender;prov;produk_kes;bekerja;payday;saudara
1612-4008161;0;20-30 Tahun;1;RIAU;0;1;0;-1
1908-Q840994;0;40-50 Tahun;0;JAWA BARAT;0;1;0;-1
2102-P754698;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;-1
2006-OP89756;0;50-70 Tahun;1;JAWA BARAT;0;0;1;-1
2102-T563123;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
2009-OP26237;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2008-EV14572;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1111-1957160;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;-1
1512-H183504;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
1303-2061308;0;>70 Tahun;0;KEPULAUAN BANGKA BELITUNG;0;1;0;-1
